"model"	"mode"	"engine"	"extension"
"bag_mars"	"classification"	"earth"	TRUE
"bag_mars"	"regression"	"earth"	TRUE
"bag_tree"	"censored regression"	"rpart"	TRUE
"bag_tree"	"classification"	"C5.0"	TRUE
"bag_tree"	"classification"	"rpart"	TRUE
"bag_tree"	"regression"	"rpart"	TRUE
"bart"	"classification"	"dbarts"	FALSE
"bart"	"regression"	"dbarts"	FALSE
"boost_tree"	"censored regression"	"mboost"	TRUE
"boost_tree"	"classification"	"C5.0"	FALSE
"boost_tree"	"classification"	"spark"	FALSE
"boost_tree"	"classification"	"xgboost"	FALSE
"boost_tree"	"regression"	"spark"	FALSE
"boost_tree"	"regression"	"xgboost"	FALSE
"C5_rules"	"classification"	"C5.0"	TRUE
"cubist_rules"	"regression"	"Cubist"	TRUE
"decision_tree"	"censored regression"	"party"	TRUE
"decision_tree"	"censored regression"	"rpart"	TRUE
"decision_tree"	"classification"	"C5.0"	FALSE
"decision_tree"	"classification"	"rpart"	TRUE
"decision_tree"	"classification"	"spark"	FALSE
"decision_tree"	"regression"	"rpart"	TRUE
"decision_tree"	"regression"	"spark"	FALSE
"discrim_flexible"	"classification"	"earth"	TRUE
"discrim_linear"	"classification"	"MASS"	TRUE
"discrim_linear"	"classification"	"mda"	TRUE
"discrim_linear"	"classification"	"sda"	TRUE
"discrim_linear"	"classification"	"sparsediscrim"	TRUE
"discrim_quad"	"classification"	"MASS"	TRUE
"discrim_quad"	"classification"	"sparsediscrim"	TRUE
"discrim_regularized"	"classification"	"klaR"	TRUE
"gen_additive_mod"	"classification"	"mgcv"	FALSE
"gen_additive_mod"	"regression"	"mgcv"	FALSE
"linear_reg"	"regression"	"gee"	TRUE
"linear_reg"	"regression"	"glmnet"	FALSE
"linear_reg"	"regression"	"gls"	TRUE
"linear_reg"	"regression"	"keras"	FALSE
"linear_reg"	"regression"	"lm"	FALSE
"linear_reg"	"regression"	"lme"	TRUE
"linear_reg"	"regression"	"lmer"	TRUE
"linear_reg"	"regression"	"spark"	FALSE
"linear_reg"	"regression"	"stan"	FALSE
"linear_reg"	"regression"	"stan_glmer"	TRUE
"logistic_reg"	"classification"	"gee"	TRUE
"logistic_reg"	"classification"	"glm"	FALSE
"logistic_reg"	"classification"	"glmer"	TRUE
"logistic_reg"	"classification"	"glmnet"	FALSE
"logistic_reg"	"classification"	"keras"	FALSE
"logistic_reg"	"classification"	"LiblineaR"	FALSE
"logistic_reg"	"classification"	"spark"	FALSE
"logistic_reg"	"classification"	"stan"	FALSE
"logistic_reg"	"classification"	"stan_glmer"	TRUE
"mars"	"classification"	"earth"	FALSE
"mars"	"regression"	"earth"	FALSE
"mlp"	"classification"	"keras"	FALSE
"mlp"	"classification"	"nnet"	FALSE
"mlp"	"regression"	"keras"	FALSE
"mlp"	"regression"	"nnet"	FALSE
"multinom_reg"	"classification"	"glmnet"	FALSE
"multinom_reg"	"classification"	"keras"	FALSE
"multinom_reg"	"classification"	"nnet"	FALSE
"multinom_reg"	"classification"	"spark"	FALSE
"naive_Bayes"	"classification"	"klaR"	TRUE
"naive_Bayes"	"classification"	"naivebayes"	TRUE
"nearest_neighbor"	"classification"	"kknn"	FALSE
"nearest_neighbor"	"regression"	"kknn"	FALSE
"null_model"	"classification"	"parsnip"	FALSE
"null_model"	"regression"	"parsnip"	FALSE
"pls"	"classification"	"mixOmics"	TRUE
"pls"	"regression"	"mixOmics"	TRUE
"poisson_reg"	"regression"	"gee"	TRUE
"poisson_reg"	"regression"	"glm"	TRUE
"poisson_reg"	"regression"	"glmer"	TRUE
"poisson_reg"	"regression"	"glmnet"	TRUE
"poisson_reg"	"regression"	"hurdle"	TRUE
"poisson_reg"	"regression"	"stan"	TRUE
"poisson_reg"	"regression"	"stan_glmer"	TRUE
"poisson_reg"	"regression"	"zeroinfl"	TRUE
"proportional_hazards"	"censored regression"	"glmnet"	TRUE
"proportional_hazards"	"censored regression"	"survival"	TRUE
"rand_forest"	"censored regression"	"party"	TRUE
"rand_forest"	"classification"	"randomForest"	FALSE
"rand_forest"	"classification"	"ranger"	FALSE
"rand_forest"	"classification"	"spark"	FALSE
"rand_forest"	"regression"	"randomForest"	FALSE
"rand_forest"	"regression"	"ranger"	FALSE
"rand_forest"	"regression"	"spark"	FALSE
"rule_fit"	"classification"	"xrf"	TRUE
"rule_fit"	"regression"	"xrf"	TRUE
"surv_reg"	"regression"	"flexsurv"	FALSE
"surv_reg"	"regression"	"survival"	FALSE
"survival_reg"	"censored regression"	"flexsurv"	TRUE
"survival_reg"	"censored regression"	"survival"	TRUE
"svm_linear"	"classification"	"kernlab"	FALSE
"svm_linear"	"classification"	"LiblineaR"	FALSE
"svm_linear"	"regression"	"kernlab"	FALSE
"svm_linear"	"regression"	"LiblineaR"	FALSE
"svm_poly"	"classification"	"kernlab"	FALSE
"svm_poly"	"regression"	"kernlab"	FALSE
"svm_rbf"	"classification"	"kernlab"	FALSE
"svm_rbf"	"classification"	"liquidSVM"	FALSE
"svm_rbf"	"regression"	"kernlab"	FALSE
"svm_rbf"	"regression"	"liquidSVM"	FALSE
